Series,Time,Value
CU-S0038,2019-05-12,22.507833894500564
CU-S0039,2019-02-13,32.325
CU-S0039,2019-02-14,34.543124999999996
CU-S0039,2019-02-15,39.49460227272727
CU-S0039,2019-02-16,36.70741792929293
CU-S0039,2019-02-17,26.289680555555552
CU-S0039,2019-02-18,30.659027777777776
CU-S0039,2019-02-19,33.47832070707071
CU-S0039,2019-02-20,35.54933712121212
CU-S0039,2019-02-21,40.75951388888889
CU-S0039,2019-02-22,42.633613636363634
CU-S0039,2019-02-23,46.75185185185185
CU-S0039,2019-02-24,49.18634848484849
CU-S0039,2019-02-25,52.600277777777784
CU-S0039,2019-02-26,54.790258838383835
CU-S0039,2019-02-27,48.629122474747476
CU-S0039,2019-02-28,40.00906565656566
CU-S0039,2019-03-01,34.92673611111111
CU-S0039,2019-03-02,36.53194444444444
CU-S0039,2019-03-03,42.94166666666667
CU-S0039,2019-03-04,43.370138888888896
CU-S0039,2019-03-05,40.82219065656566
CU-S0039,2019-03-06,41.27152777777778
CU-S0039,2019-03-07,64.67029671717172
CU-S0039,2019-03-08,65.98652146464646
CU-S0039,2019-03-09,44.46319444444444
CU-S0039,2019-03-10,55.11597222222222
CU-S0039,2019-03-11,75.90791062801932
CU-S0039,2019-03-12,91.74245580808082
CU-S0039,2019-03-13,125.6300505050505
CU-S0039,2019-03-14,120.37855072463768
CU-S0039,2019-03-15,112.68402777777779
CU-S0039,2019-03-16,89.65510416666666
CU-S0039,2019-03-17,62.878680555555555
CU-S0039,2019-03-18,58.066856060606064
CU-S0039,2019-03-19,36.19097902097902
CU-S0039,2019-03-20,31.759599116161613
CU-S0039,2019-03-21,42.24236111111111
CU-S0039,2019-03-22,70.10173611111111
CU-S0039,2019-03-23,126.25381944444445
CU-S0039,2019-03-24,120.54239583333333
CU-S0039,2019-03-25,53.18375631313131
CU-S0039,2019-03-26,38.28808080808081
CU-S0039,2019-03-27,37.11518308080808
CU-S0039,2019-03-28,29.309886363636366
CU-S0039,2019-03-29,61.165044191919186
CU-S0039,2019-03-30,88.31979166666667
CU-S0039,2019-03-31,79.90694444444445
CU-S0039,2019-04-01,86.61428571428571
CU-S0039,2019-04-08,29.11622103386809
CU-S0039,2019-04-09,43.80131944444444
CU-S0039,2019-04-10,71.61909722222222
CU-S0039,2019-04-11,126.72527777777778
CU-S0039,2019-04-12,132.51044973544973
CU-S0039,2019-04-15,73.76682539682541
CU-S0039,2019-04-16,50.36597222222222
CU-S0039,2019-04-17,53.89052777777778
CU-S0039,2019-04-18,35.77719191919193
CU-S0039,2019-04-19,41.435366161616166
CU-S0039,2019-04-20,46.46563360881543
CU-S0039,2019-04-21,60.70217391304348
CU-S0039,2019-04-22,34.01256607744108
CU-S0039,2019-04-23,30.177367424242423
CU-S0039,2019-04-24,41.15072601010101
CU-S0039,2019-04-25,42.28285486443381
CU-S0039,2019-04-27,29.532395622895624
CU-S0039,2019-04-28,25.594583333333333
CU-S0039,2019-04-29,27.403484848484847
CU-S0039,2019-04-30,39.884438131313125
CU-S0039,2019-05-01,49.28745580808081
CU-S0039,2019-05-02,60.27695707070708
CU-S0039,2019-05-03,70.51059644059644
CU-S0039,2019-05-05,42.57234848484848
CU-S0039,2019-05-06,34.50429292929293
CU-S0039,2019-05-07,36.803061868686875
CU-S0039,2019-05-08,29.616815025252524
CU-S0039,2019-05-09,25.72364267676768
CU-S0039,2019-05-10,25.060928030303028
CU-S0039,2019-05-11,25.02548611111111
CU-S0039,2019-05-12,31.805462962962963
CU-S0040,2019-02-13,33.75
CU-S0040,2019-02-14,39.8905303030303
CU-S0040,2019-02-15,47.20690972222223
CU-S0040,2019-02-16,42.8845
CU-S0040,2019-02-17,34.36461805555556
CU-S0040,2019-02-18,35.94420454545455
CU-S0040,2019-02-19,38.322916666666664
CU-S0040,2019-02-20,38.55984848484849
